Player,Club,Year,Kicks,Handballs,Disp_eff,Marks,Frees_Agst,Goals,Behinds,Goal_assists,Time_On_Ground
Tarnica Golisano,FRE,2017,1.8,1.5,53.8,1,1,0,0,0,41.7
Taryn Priestly,FRE,2017,0,0,0,0,0,0,0,0,0
Tayla Bresland,FRE,2017,3,1,50,1.1,1,0.1,0,0,77.6
Tayla Harris,BL,2017,5.6,1.4,42.9,2.9,2.4,0.5,1.1,0,98.3
Tayla Thorn,ADEL,2017,3.4,1.6,36,0.4,1.2,0,0,0.2,55.1
Taylah Angel,FRE,2017,3.5,1,44.4,0,0.5,0,0,0,48.9
Tiah Haynes,FRE,2017,4.3,2,52.6,0.7,0.7,0,0,0,69.8
Tiarna Ernst,WB,2017,1.6,4.3,80.5,0.3,1.1,0,0,0.1,69.2
Tilly Lucas-Rodd,CARL,2017,7,3.4,54.8,1.4,0.4,0,0.1,0.1,61.9
Emma Kearney,WB,2018,15.4,3.6,60.5,3.4,0.5,0.4,0.6,0.5,83.1
Alexandra Anderson,BL,2018,11.4,6.6,52.8,2.8,0.5,0.1,0,0.1,77.5
Kate Lutkins,BL,2018,13.1,4.6,66.2,3.9,0.1,0.1,0,0,99.8
Emily Bates,BL,2018,9.1,8.3,62.6,2.3,1,0,0,0,85.6
Ellie Blackburn,WB,2018,12.8,4.1,57.8,2.9,0.4,0.4,0.8,0.3,91.9
Jamie Stanton,BL,2018,12,4.6,56.4,2.6,0.6,0,0.1,0.3,92.6
Daisy Pearce,MELB,2018,12.7,5.4,58.3,1.6,1.1,0.3,0.1,0,84.7
Alicia Eva,GWS,2018,13.7,4.1,56,1.4,0.7,0.1,0.1,0,91.1
Karen Paxman,MELB,2018,12.4,5.3,57.3,2.3,0.6,0.3,0.4,0.1,75.1
Dana Hooker,FRE,2018,12.3,5.3,51.2,1.6,0.9,0.7,0.1,0.1,96.8
Elise O'Dea,MELB,2018,12.7,4.9,53.7,3.7,1,0.6,0.3,0.1,77.8
Chelsea Randall,ADEL,2018,12.1,4.1,62.3,3.1,0.3,0.1,0,0,89.6
Monique Conti,WB,2018,8.9,4.9,57.3,2.9,0.6,0.4,0.4,0.4,87.9
Ebony Marinoff,ADEL,2018,11.6,4,43.1,2,1,0,0.3,0.1,86.5
Kara Donnellan,FRE,2018,10.9,4.1,55.2,2,1.7,0.1,0,0.3,87.5
Jaimee Lambert,COLL,2018,10.7,4.1,61.5,2.7,1.6,0.1,0.1,0,77.4
Courtney Gum,GWS,2018,9.1,5.6,58.3,1.9,1.1,0.7,0.1,0,81.2
Kirsty Lamb,WB,2018,9.4,3.4,56.9,2,0.6,0,0.3,0.3,62.8
Chloe Molloy,COLL,2018,11.7,2.7,74.3,3.6,0.7,0.1,0.3,0,94.9
Emma Zielke,BL,2018,8,4.3,53.1,3,0.3,0,0.1,0.1,75.1
Brooke Lochland,WB,2018,9.3,2.8,52.1,4.3,1,1.5,0.8,0.3,86.6
Ebony Antonio,FRE,2018,7.7,5.7,70.2,2.1,0.4,0.4,0,0.1,96.4
Sabrina Frederick-Traub,BL,2018,8.1,3.3,47.3,3.6,0.8,1,0.9,0.3,99.2
Jenna Bruton,WB,2018,6.5,4.9,57.1,2.6,0.4,0.4,0.3,0.1,81.8
Lara Filocamo,FRE,2018,8.7,4.3,53.8,1.6,0.7,0.1,0,0,60.9
Brittany Gibson,BL,2018,7.4,3.9,62.2,2.1,1,0.4,0.3,0.1,70.9
Hayley Miller,FRE,2018,9.4,3.4,41.1,2,0.4,0.1,0.1,0.1,75.2
Lily Mithen,MELB,2018,5.9,7,62.2,1.7,0.3,0,0,0,63.3
Amanda Farrugia,GWS,2018,8.6,4.1,53.9,1.9,0.7,0.3,0.1,0,85.4
Breanna Koenen,BL,2018,7.1,4,65.2,3.3,0.1,0,0,0,71.1
Lisa Webb,FRE,2018,11.3,3.2,50.6,3.2,0.3,0.3,0.3,0.2,98.1
Jasmine Garner,COLL,2018,9.6,2.9,65.5,4.1,0.3,0.7,0.4,0.1,93.2
Sarah Hosking,CARL,2018,6.4,5.6,53.6,1.7,1.1,0,0.1,0.1,87.3
Hannah Scott,WB,2018,7.9,2.6,75,1.8,0.8,0.1,0,0,87.7
Caitlyn Edwards,COLL,2018,6.9,4.9,57.3,2.3,1,0.6,0.1,0.6,84.4
Kaitlyn Ashmore,BL,2018,6.8,3.5,56.1,3,0.5,0.4,0.6,0.1,84.7
Jess Duffin,COLL,2018,12,1.5,79,4.7,0.3,0.2,0,0.2,85.2
Christina Bernardi,COLL,2018,9.6,1.9,50,4.3,1.4,1.3,0.6,0.3,84.5
Angela Foley,ADEL,2018,11.5,1.8,50,3,0.3,0,0,0,90.3
Kate Hore,MELB,2018,6.1,5.1,62,3.1,0.1,0.9,0.6,0.4,83.7
Shelley Scott,MELB,2018,6.6,4.7,51.9,3,0.4,0.4,0.6,0.3,90.9
Brittany Bonnici,COLL,2018,6.4,4.7,64.1,2,1.3,0.1,0,0.3,66
Angelica Gogos,WB,2018,4.3,5.5,66.7,0.9,0.8,0,0,0.1,69.4
Rebecca Beeson,GWS,2018,7.4,3.6,59.7,1.9,0.6,0.3,0.1,0.3,76.9
Jessica Dal Pos,GWS,2018,7.4,3.6,63.6,1.4,0.9,0.1,0,0.3,82
Jess Wuetschner,BL,2018,7.6,2,59.7,2.4,0.9,1.6,0.8,0.4,91.4
Bianca Jakobsson,MELB,2018,6.8,5.7,66.7,4,0.8,0,0,0,84.4
Amelia Barden,COLL,2018,5.6,4.9,53.4,1,1.7,0.4,0.6,0.3,70.7
Jacinda Barclay,GWS,2018,5.9,4.4,54.2,3.3,0.6,0.6,0.4,0.3,79.1
Nicola Barr,GWS,2018,6.9,3.3,53.5,1.7,1.1,0,0,0,92.2
Richelle Cranston,MELB,2018,7.3,2.7,44.3,2.4,0.7,0.7,0.6,0.1,76.6
Stephanie Chiocci,COLL,2018,8.4,5.6,71.4,1.4,0.6,0.4,0.2,0,78.4
Elle Bennetts,GWS,2018,6.1,3.7,49.3,2.4,0.7,0,0.1,0.3,73.4
Deni Varnhagen,ADEL,2018,7,2.9,44.9,1.9,1.7,0,0,0,70.2
Justine Mules,ADEL,2018,6.6,3.3,46.4,0.7,0.7,0,0.1,0.1,61.3
Britt Tully,GWS,2018,7.7,2.1,53.6,1,0.1,0.1,0,0.1,66.8
Katherine Smith,MELB,2018,6.4,3.3,64.7,1,1.6,0.1,0.1,0,78.2
Maddison Gay,CARL,2018,6.3,3.1,51.5,1.3,1,0.1,0.3,0.3,75.2
Stephanie Cain,FRE,2018,5.9,3.6,48.5,1.3,0.7,0.1,0.1,0,77.5
Aisling Utri,WB,2018,6.1,3.1,64.6,2,0.3,0.4,0.6,0.1,73.7
Nat Exon,BL,2018,5.7,3.6,63.1,2.3,1.3,0.3,0.1,0.1,72.8
Meg Downie,MELB,2018,6.5,4.3,72.3,2.7,1.2,0,0,0,84.6
Melissa Kuys,COLL,2018,7.1,2.1,67.7,2.7,0.1,0.3,0.1,0,67.9
Bonnie Toogood,WB,2018,5.5,2.5,67.2,2.4,0.1,0.6,0.3,0.4,91.9
Sarah Allan,ADEL,2018,7.3,1.7,66.7,1.1,0.1,0,0,0,93
Aasta O'Connor,WB,2018,5,2.9,73,2.6,1,0.3,0,0,65.9
Cassie Davidson,FRE,2018,6.6,2.4,60.3,1.7,1.3,0,0,0,76.5
Ruth Wallace,ADEL,2018,6.9,2.1,55.6,2,0.9,1,0.3,0.3,83.9
Emma Grant,COLL,2018,6.1,2.7,54.8,2.4,1,0,0,0,77.3
Katie Loynes,CARL,2018,7.5,2.5,55,1.8,1.2,0.3,0.7,0,89.1
Lauren Spark,WB,2018,4.9,2.6,65,2,0.4,0,0.1,0,89.6
Erin Phillips,ADEL,2018,9.2,2.8,50,1.6,0.6,1.4,0.6,0.2,86.8
Leah Kaslar,BL,2018,2.8,4.8,70,0.8,0.5,0,0,0,97
Melissa Hickey,MELB,2018,4.8,5,54.2,1.8,1,0.2,0,0,76.7
Ellie Brush,GWS,2018,4.3,4.1,50.8,1,0.9,0,0,0,77.9
Tayla Harris,CARL,2018,8,1.8,40.7,3.3,1.5,0.8,1,0.3,89.3
Cecilia McIntosh,COLL,2018,4.4,4,69.5,1.6,0.7,0,0,0.1,85.2
Naomi Ferres,WB,2018,4.4,3,59.3,1.4,0.8,0,0,0.1,69.8
Sharni Webb,BL,2018,3.8,3.5,46.6,1,0.4,0.1,0.3,0.1,72.8
Emma Swanson,GWS,2018,7.7,2,60.3,1.2,0.7,0,0,0,74
Gabby O'Sullivan,FRE,2018,6,2.3,39.7,0.7,1.1,0.1,0.4,0.4,68.9
Nicola Stevens,CARL,2018,5.9,2.3,61.4,1.6,1.6,0.1,0.3,0,86.6
Cora Staunton,GWS,2018,5.6,2.6,52.6,1.9,1.6,0.7,1.1,0.4,93.7
Dayna Cox,ADEL,2018,6.5,2.8,66.1,2,0.8,0,0.2,0.2,78.7
Emma King,COLL,2018,7,1,55.4,2.1,1.3,0.1,0.3,0,75.1
Lauren Pearce,MELB,2018,4,5.3,60.7,1.3,0.2,0.2,0.3,0,68.7
Nicole Callinan,WB,2018,5.5,1.5,57.1,2,0.5,0.1,0,0.3,67
Evangeline Gooch,FRE,2018,5.1,2.9,55.4,1.4,0.3,0,0,0,83.5
Tegan Cunningham,MELB,2018,4.7,3.1,69.1,2.9,1,1.3,1,0.4,82.4
Gabriella Pound,CARL,2018,6,1.9,63.6,1,1,0,0,0,82.6
Kerryn Harrington,CARL,2018,4.9,2.9,61.1,2.1,1,0,0,0,88.1
Phoebe McWilliams,GWS,2018,4.4,3.3,57.4,2.3,0.7,1,0.4,0.1,86.1
Sophie Li,CARL,2018,4.9,2.9,40.7,1,0.7,0,0.3,0,62.5
Melissa Caulfield,FRE,2018,4,3.6,54.7,1.1,0.4,0.4,0,0.1,76.1
Breann Moody,CARL,2018,4.7,2.9,56.6,1,0.7,0,0,0,77
Tahlia Randall,BL,2018,4.6,2,60.4,1.1,1.3,0,0,0,71.6
Libby Birch,WB,2018,4.5,2,53.8,1.3,1,0,0,0,96.4
Jess Hosking,CARL,2018,5.3,3.3,44.2,0.8,0.5,0,0.5,0,64.4
Moana Hope,COLL,2018,6.8,1.8,48.1,2.8,1,1.3,0.8,1,91.3
Shae Audley,CARL,2018,4.7,2.6,72.5,1.1,0.7,0,0.1,0.1,70.8
Katherine Gillespie-Jones,CARL,2018,4.2,4.2,64,0.8,0.5,0,0.3,0,84.8
Tilly Lucas-Rodd,CARL,2018,5.7,2.7,56,1.5,1,0,0.2,0.2,66.7
Danielle Hardiman,CARL,2018,6.2,2,65.3,2,0.2,0,0,0,85.3
Arianna Clarke,BL,2018,3.4,2.8,73.5,0.8,0.8,0,0,0,70.9
Ashleigh Guest,MELB,2018,4.1,2.9,63.3,1,0.4,0,0,0,81
Eloise Jones,ADEL,2018,5.3,1.7,55.1,0.7,1.1,0.4,0,0,77.8
Aliesha Newman,MELB,2018,5.1,1.9,44.9,1.4,1,0.4,0.4,0.4,72
Marijana Rajcic,ADEL,2018,6.4,3.2,60.4,1.8,0.4,0.2,0.4,0,68.6
Phoebe Monahan,GWS,2018,6.3,1.5,55.3,0.7,0.8,0,0,0,80.3
Darcy Vescio,CARL,2018,5.4,1.3,46.8,0.7,0.9,0.7,0.9,0.1,90.8
Sophie Conway,BL,2018,5.8,2,57.4,2.2,1.8,0.8,0.5,0.2,66.2
Stevie-Lee Thompson,ADEL,2018,5.4,1.3,55.3,1.1,0.3,0.1,0,0,87.3
Ashlee Atkins,FRE,2018,5.7,1,40.4,1.4,0.9,0.4,0.6,0.1,79.1
Hayley Wildes,WB,2018,5.1,1.4,58.7,1.9,0.1,0,0.1,0.1,59.4
Shannon Campbell,BL,2018,5.9,0.7,54.3,2.1,0.1,0,0,0,87.1
Pepa Randall,GWS,2018,4.3,2.3,69.6,0.9,0.9,0,0,0,77.5
Catherine Phillips,MELB,2018,2.7,5,60.9,1,0.8,0,0.2,0,72.1
Alison Downie,CARL,2018,3.4,3.1,58.7,2.1,0.1,0.4,0,0,86.8
Jessica Sedunary,ADEL,2018,5.6,1,43.5,1.1,1.6,0.3,0,0.3,78.4
Kate McCarthy,BL,2018,4.6,1.1,45.7,1.8,0.4,0.1,0.3,0.3,63.2
Belinda Smith,FRE,2018,5.2,3.8,60,2.2,0.2,0,0,0,71.4
Lauren Tesoriero,COLL,2018,3.7,3.8,71.1,2.2,0.5,0.2,0.2,0,61.6
Jasmine Grierson,MELB,2018,4.8,2.5,56.8,1.3,0.2,0,0.3,0.2,72.3
Sarah D'Arcy,COLL,2018,5.6,3,72.1,3,0.2,0,0,0.2,85.6
Alex Williams,FRE,2018,3.7,2.3,71.4,1.3,0.3,0,0,0,96.5
Rhiannon Metcalfe,ADEL,2018,4.3,1.6,58.5,0.3,0.4,0,0,0,76.4
Tiarna Ernst,WB,2018,2.1,2.9,72.5,0.4,1.3,0,0,0,83.9
Amy Lavell,FRE,2018,3.7,2,52.5,1.4,0.6,0.9,0.3,0.3,74.3
Courtney Cramey,ADEL,2018,9,0.8,56.4,2.5,1,0.3,0.3,0,83.6
Katie Brennan,WB,2018,8.3,1.5,53.8,4,2.3,1.5,0.5,0,92.4
Tanya Hetherington,GWS,2018,3.3,2.3,87.2,1.4,0.4,0,0,0,86.9
Jenna McCormick,ADEL,2018,5.2,1,48.6,1.7,0.8,0.8,1.2,0,79.5
Jordan Zanchetta,BL,2018,4.6,2.6,50,1.2,0.4,0,0,0.2,52
Erin McKinnon,GWS,2018,1.4,3.6,65.7,0.6,0.6,0,0,0,69.2
Ashley Sharp,FRE,2018,4.4,2.6,60,1.2,0.6,0.4,0.4,0.4,69.3
Bree White,COLL,2018,4.5,4,64.7,2.5,0.5,0,0,0,56.9
Georgia Gee,CARL,2018,4.7,1,41.2,0.5,0.2,0.2,0.3,0,64.9
Rheanne Lugg,ADEL,2018,4.5,1.2,55.9,2.8,1,0,0,0,73.3
Brooke Patterson,MELB,2018,4.8,1.8,48.5,1.4,0.2,0,0,0,58
Sarah Perkins,ADEL,2018,3.3,1.3,59.4,0.6,0.1,0.1,0.6,0.6,81.2
Brianna Davey,CARL,2018,10,6,68.8,3,1.5,0,0,0,91.5
Jodie Hicks,GWS,2018,2.7,2.7,65.6,0.8,0.3,0.2,0.2,0,56.4
Nicole Hildebrand,BL,2018,4.4,2,65.6,1.6,0.4,0,0,0,63.4
Harriet Cordner,MELB,2018,5.3,2.8,59.4,1.8,0.5,0,0,0,87.2
Jasmyn Hewett,ADEL,2018,3.1,1.4,56.3,0.7,1.4,0.3,0,0,69
Lauren Brazzale,CARL,2018,5,1.2,61.3,0.6,0.4,0,0.6,0,58.2
Meg Hutchins,COLL,2018,4.4,1.8,71,1.6,1,0.6,0.2,0,59.3
Iilish Ross,COLL,2018,4.2,2,48.4,1.4,0.6,0,0,0,81.8
Anne Hatchard,ADEL,2018,3.5,4,80,1,0.8,0.3,0,0.5,55.3
Georgia Bevan,ADEL,2018,3.6,2.2,24.1,0.4,0,0,0,0,59.3
Alicia Janz,FRE,2018,0.9,3.3,86.2,0.3,0.6,0,0,0,52.7
Renee Forth,GWS,2018,3.2,2.4,60.7,1.2,1.8,0,0.4,0,65.3
Lauren Arnell,CARL,2018,5.3,1.5,48.1,1.8,0.3,0.5,0.3,0,68.3
Deanna Berry,WB,2018,3.5,1,59.3,1,0.8,0.3,0.2,0,70.3
Bailey Hunt,WB,2018,3.2,1.3,40.7,1,0.2,0,0,0,60.3
Leah Mascall,FRE,2018,2.4,1.4,48.1,0.4,0.4,0,0,0,69.5
Laura Duryea,MELB,2018,5.8,0.8,46.2,1,1,0,0,0,91.7
Tara Morgan,COLL,2018,5.3,1.3,42.3,2,0.5,0,0,0,80.7
Megan Hunt,BL,2018,3.5,2.8,32,1.3,0.3,0,0,0,40.9
